,[job_title],[location],[company],[parttime]
1,Artificial Intelligence (AI) Associate - Data Scientist,Penn State University,"University Park, PA",yes
2,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
3,Data Science Internship,DriveTime,"Tempe, AZ 85281",yes
4,Data Engineer II,Grubhub,"Philadelphia, PA",yes
5,Data Scientist,RBC,"Orlando, FL 32826",yes
6,Statistician (Data Scientist),Centers for Disease Control and Prevention,"Hyattsville, MD",yes
7,Part-Time Lecturer Data Mining/Machine Learning Online,Northeastern University,United States,yes
8,Internship - Data Science,National League of Cities,"Washington, DC",yes
9,Data Science Instructor Associate (Part-Time),GA Instructor,"Mountain View, CA",yes
10,Summer Intern - Data Scientist,Commerce Bank,"Kansas City, MO",yes
