,[job_title],[location],[company],[contract]
1,Data Scientist,Digitalogy,"New York, NY",yes
2,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
3,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
4,Data Scientist,Jnit Technologies,"Seattle, WA",yes
5,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
7,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
8,Data Scientist,Pricesenz,"Broomfield, CO",yes
9,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
10,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
11,Critical Infrastructure Risk Analyst,Knowesis Inc.,"Washington, DC 20001 (Shaw area)",yes
12,"IT Business Analyst, Retail Planning & Assortment",BICP,"Portland, OR",yes
13,System Engineer (SE) Level 1 (Data Flow),Novetta,"Annapolis, MD",yes
14,Oracle CC&B Business Analyst,Pacific Data Integrators,"San Francisco, CA",yes
15,Computer Systems Integration Analyst,TekSynap,"Richmond, VA",yes
16,Senior Foundry Program Analyst ORSA,Telum Corporation,"Fort Irwin, CA",yes
17,Lead Program Analyst- Health Policy,Mathematica Policy Research,"Chicago, IL",yes
18,Operations Analyst,Prevailance Inc,"Virginia Beach, VA 23462 (Northwest area)",yes
19,Postdoctoral Scholar Imaging Data Science Radiation Oncology,University of Washington,"Seattle, WA",yes
20,Business Analyst (Bilingual Korean/ English),"Woongjin, Inc","Fountain Valley, CA 92708",yes
21,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
22,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
23,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
24,Data Engineer,FutureSoft IT,"Detroit, MI",yes
25,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
26,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
27,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
28,Data Scientist,Pricesenz,"Broomfield, CO",yes
29,Data Scientist,Digitalogy,"New York, NY",yes
30,Data Scientist,Jnit Technologies,"Seattle, WA",yes
31,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
32,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
33,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
34,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
35,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
36,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
37,Data Scientist,Pricesenz,"Broomfield, CO",yes
38,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
39,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
40,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
41,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
42,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
43,Data Scientist,Digitalogy,"New York, NY",yes
44,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
45,Data Scientist,Pricesenz,"Broomfield, CO",yes
46,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
47,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
48,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
49,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
50,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
51,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
52,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
53,Data Scientist,Digitalogy,"New York, NY",yes
54,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
55,Data Scientist,Pricesenz,"Broomfield, CO",yes
56,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
57,Data Scientist,Jnit Technologies,"Seattle, WA",yes
58,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
59,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
60,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
61,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
62,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
63,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
64,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
65,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
66,Data Scientist,Pricesenz,"Broomfield, CO",yes
67,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
68,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
69,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
70,Data Scientist,Kaav inc.,"Dublin, OH",yes
71,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
72,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
73,Data Scientist,Digitalogy,"New York, NY",yes
74,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
75,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
76,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
77,Data Scientist,Pricesenz,"Broomfield, CO",yes
78,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
79,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
80,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
81,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
82,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
83,Data Scientist,Digitalogy,"New York, NY",yes
84,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
85,Data Scientist,Pricesenz,"Broomfield, CO",yes
86,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
87,Data Scientist,Jnit Technologies,"Seattle, WA",yes
88,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
89,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
90,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
91,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
92,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
93,Data Scientist,Digitalogy,"New York, NY",yes
94,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
95,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
96,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
97,Data Scientist,Pricesenz,"Broomfield, CO",yes
98,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
99,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
100,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
101,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
102,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
103,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
104,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
105,Data Scientist,Digitalogy,"New York, NY",yes
106,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
107,Data Engineer,FutureSoft IT,"Detroit, MI",yes
108,Data Scientist,Pricesenz,"Broomfield, CO",yes
109,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
110,Data Scientist,Jnit Technologies,"Seattle, WA",yes
111,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
112,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
113,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
114,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
115,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
116,Data Scientist,Digitalogy,"New York, NY",yes
117,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
118,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
119,Sr. Data Scientist,Microagility,"Columbus, OH",yes
120,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
121,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
122,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
123,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
124,Data Scientist,Digitalogy,"New York, NY",yes
125,Data Engineer,FutureSoft IT,"Detroit, MI",yes
126,Data Scientist,Jnit Technologies,"Seattle, WA",yes
127,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
128,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
129,Data Scientist,Pricesenz,"Broomfield, CO",yes
130,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
131,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
132,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
133,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
134,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
135,Sr. Data Scientist,Microagility,"Columbus, OH",yes
136,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
137,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
138,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
139,Data Scientist,Digitalogy,"New York, NY",yes
140,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
141,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
142,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
143,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
144,Data Engineer,FutureSoft IT,"Detroit, MI",yes
145,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
146,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
147,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
148,Sr. Data Scientist,Microagility,"Columbus, OH",yes
149,Data Engineer,Accelalpha,"Seattle, WA",yes
150,Data Scientist,Kaav inc.,"Dublin, OH",yes
151,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
152,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
153,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
154,Data Engineer,FutureSoft IT,"Detroit, MI",yes
155,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
156,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
157,Data Scientist,Pricesenz,"Broomfield, CO",yes
158,Data Scientist,Jnit Technologies,"Seattle, WA",yes
159,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
160,Data Scientist,Kaav inc.,"Dublin, OH",yes
161,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
162,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
163,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
164,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
165,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
166,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
167,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
168,Machine Learning Expert,Peopleforce INC,"Salt Lake City, UT",yes
169,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
170,Data Engineer,nygci,"Long Island, NY",yes
171,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
172,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
173,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
174,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
175,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
176,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
177,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
178,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
179,Data Scientist,Pricesenz,"Broomfield, CO",yes
180,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
181,Data Scientist,Digitalogy,"New York, NY",yes
182,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
183,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
184,Data Scientist,Jnit Technologies,"Seattle, WA",yes
185,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
186,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
187,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
188,Data Scientist,Pricesenz,"Broomfield, CO",yes
