,[job_title],[location],[company],[internship]
1,Summer Research Trainee in Biomedical Big Data Science,"Ma'ayan Laboratory, Icahn School of Medicine at Mo...","New York, NY 10029 (Yorkville area)",yes
2,2020 Summer Internship - Data Science,Domino's,"Ann Arbor, MI 48106",yes
3,Data Science Intern,Bayer,"Chesterfield, MO",yes
4,2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,"Savannah, GA",yes
5,Data Science Internship - Summer 2020,Etsy,"New York, NY",yes
6,2020 Citizen Data Scientist Internship,FCA,"Detroit, MI 48226 (Downtown area)",yes
7,Analyst Intern - Data Science & Solutions,Oklahoma City Thunder,"Edmond, OK 73013",yes
8,Data Science & Analytics Intern (Summer 2020),iCIMS,"Holmdel, NJ",yes
9,Data science Internship,KLA-Tencor,"Ann Arbor, MI",yes
10,Intern - Data Science and Visualization,Fulton Financial Corporation,"Lancaster, PA",yes
11,"Analytical Solutions Engineer Intern, Infrastructure Data Centers",Facebook,"Fremont, CA",yes
12,"JH Banking Special Projects Business Analyst (Springfield & Monett, MO) - Summer 2020 Internship",Jack Henry,"Springfield, MO 65809",yes
13,IT Infrastructure Library Process Analyst Intern,XPO Logistics,"Charlotte, NC 28277 (Piper Glen Estates area)",yes
14,ENG-CE-Customer Technical Service/Maintenance Data Engineer - Summer Intern,Pratt & Whitney,"East Hartford, CT",yes
15,Business Analyst MBA Summer Internship for Consumer Personal Systems,HP,"Spring, TX",yes
16,2020 Data Scientist Intern,Lyft,"San Francisco, CA",yes
17,"Associate Business Systems Analyst Intern – Software Development, Analytics, Infrastructure/Networking, End User Computing, Business Relationship Management",Conagra Brands,"Omaha, NE",yes
18,Intern- Technology Development Procurement Data Engineer,Micron,"Boise, ID",yes
19,"Software Engineer Intern, Machine Learning (Summer 2020)",Lyft,"San Francisco, CA",yes
20,"PhD Software Engineer Intern, Rideshare / Machine Learning (Summer 2020)",Lyft,"San Francisco, CA",yes
21,Summer Research Trainee in Biomedical Big Data Science,"Ma'ayan Laboratory, Icahn School of Medicine at Mo...","New York, NY 10029 (Yorkville area)",yes
22,2020 Summer College Intern - Data Science Intern,Gulfstream Aerospace,"Savannah, GA",yes
23,Data Science & Analytics Intern (Summer 2020),iCIMS,"Holmdel, NJ",yes
24,Intern - Data Science and Visualization,Fulton Financial Corporation,"Lancaster, PA",yes
25,2020 Summer Internship - Data Science,Domino's,"Ann Arbor, MI 48106",yes
26,Data Science Intern,Meltwater,"Raleigh, NC",yes
27,Data Science Internship - Summer 2020,Etsy,"New York, NY",yes
28,Data science Internship,KLA-Tencor,"Ann Arbor, MI",yes
29,Data Science Intern,Safety-Kleen,"Norwell, MA",yes
