,[job_title],[location],[company],[mid_level]
1,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
2,Data Scientist,DTE Energy,"Detroit, MI",yes
3,Data Scientist,Dow Technologies and Systems,"United, PA",yes
4,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
5,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
6,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
7,Data Analytics Scientist,Theoris,"Bradley, IL",yes
8,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
9,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
10,Data Scientist,Best Buy,"Richfield, MN 55423",yes
11,"Data Scientist, Amazon Devices","Amazon.com Services, Inc.","Seattle, WA",yes
12,Data Engineer,meQuilibrium,"Boston, MA 02298",yes
13,"Associate Scientist, Machine Learning, Data Sciences",bluebird bio,"Cambridge, MA",yes
14,Data Engineer-Big Data,Cygnet Infotech Pvt. Ltd,"Chevy Chase, MD",yes
15,Machine Learning Research Scientist,Etegent,"Beavercreek, OH 45431",yes
16,Data Engineer,Koddi,"Ann Arbor, MI",yes
17,"Federal - Data Scientist- Augusta, GA",Accenture,"Atlanta, GA 30303 (Five Points area)",yes
18,Data Scientist,Klaviyo,"Boston, MA",yes
19,Bioinformatics Data Engineer,Delfi Diagnostics,"Baltimore, MD 21205 (Orangeville area)",yes
20,Data Science Architect - Data Manufacturing,Bloomberg,"New York, NY",yes
21,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
22,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
23,Data Scientist,DTE Energy,"Detroit, MI",yes
24,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
25,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
26,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
27,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
28,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
29,Junior Data Scientist,DataSprouts,"Bloomington, IN",yes
30,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
31,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
32,Data Scientist,DTE Energy,"Detroit, MI",yes
33,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
34,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
35,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
36,Data Scientist,Dow Technologies and Systems,"United, PA",yes
37,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
38,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
39,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
40,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
41,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
42,Data Scientist,DTE Energy,"Detroit, MI",yes
43,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
44,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
45,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
46,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
47,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
48,Data Scientist,Dow Technologies and Systems,"United, PA",yes
49,Data Scientist,Best Buy,"Richfield, MN 55423",yes
50,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
51,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
52,Data Scientist,DTE Energy,"Detroit, MI",yes
53,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
54,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
55,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
56,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
57,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
58,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
59,Data Scientist,Best Buy,"Richfield, MN 55423",yes
60,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
61,Data Scientist,Dow Technologies and Systems,"United, PA",yes
62,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
63,Data Scientist,Best Buy,"Richfield, MN 55423",yes
64,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
65,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
66,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
67,Data Analytics Scientist,Theoris,"Bradley, IL",yes
68,Data Scientist-Pricing,Best Buy,"Richfield, MN 55423",yes
69,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
70,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
71,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
72,Data Scientist,DTE Energy,"Detroit, MI",yes
73,Data Scientist,Dow Technologies and Systems,"United, PA",yes
74,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
75,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
76,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
77,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
78,Data Engineer,FutureSoft IT,"Detroit, MI",yes
79,Data Analytics Scientist,Theoris,"Bradley, IL",yes
80,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
81,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
82,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
83,Data Scientist,DTE Energy,"Detroit, MI",yes
84,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
85,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
86,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
87,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
88,Junior Data Scientist,DataSprouts,"Bloomington, IN",yes
89,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
90,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
91,Data Scientist,DTE Energy,"Detroit, MI",yes
92,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
93,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
94,Data Scientist,Dow Technologies and Systems,"United, PA",yes
95,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
96,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
97,Data Science and Analytics Specialist,"Chesterfield County, VA","Chesterfield, VA",yes
98,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
99,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
100,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
101,Data Scientist,Dow Technologies and Systems,"United, PA",yes
102,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
103,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
104,Data Scientist,DTE Energy,"Detroit, MI",yes
105,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
106,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
107,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
108,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
109,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
110,Data Scientist,DTE Energy,"Detroit, MI",yes
111,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
112,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
113,Data Scientist,Dow Technologies and Systems,"United, PA",yes
114,Data Scientist,Best Buy,"Richfield, MN 55423",yes
115,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
116,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
117,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
118,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
119,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
120,Data Scientist,DTE Energy,"Detroit, MI",yes
121,Data Scientist,Dow Technologies and Systems,"United, PA",yes
122,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
123,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
124,Data Engineer,FutureSoft IT,"Detroit, MI",yes
125,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
126,Intermediate Data Science Analyst,Gateway,"Indianapolis, IN 46204",yes
127,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
128,Data Analytics Scientist,Theoris,"Bradley, IL",yes
129,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
130,Data Scientist,DTE Energy,"Detroit, MI",yes
131,Data Scientist,Dow Technologies and Systems,"United, PA",yes
132,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
133,Data Scientist,Best Buy,"Richfield, MN 55423",yes
134,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
135,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
136,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
