,[job_title],[parttime]
1,Artificial Intelligence (AI) Associate - Data Scientist,yes
2,Data Science Internship,yes
3,Sr. Data Engineer,yes
4,Data Scientist / Machine Learning Specialist,yes
5,Data Science Instructor Associate (Part-Time),yes
6,Summer Intern - Data Scientist,yes
7,Statistician (Data Scientist),yes
8,Internship - Data Science,yes
9,Data Scientist,yes
10,Data Science Internship,yes
11,Data Center Services Engineer,yes
12,Part-Time Business Analyst,yes
13,"District Director, Research and Data Science",yes
14,Fall Associate Product Analyst Intern (2 positions - located in SF or Salt Lake City),yes
15,Paid Media Specialist/Analyst,yes
16,"Senior Biostatistician, Biomedical Data Science Hub, Population Health, Dell Medical School",yes
17,Sr. Systems Analyst - Governance with TS/SCI Clearance,yes
18,"BI Analyst / Senior BI Analyst - Smyrna, GA",yes
19,BI Analyst,yes
20,"Adjunct Professor in Machine Learning, Computer Science",yes
21,Data Scientist / Machine Learning Specialist,yes
22,Artificial Intelligence (AI) Associate - Data Scientist,yes
23,Data Engineer II,yes
24,Statistician (Data Scientist),yes
25,Data Science Internship,yes
26,Data Scientist,yes
27,Data Science Instructor Associate (Part-Time),yes
28,Part-Time Lecturer Data Mining/Machine Learning Online,yes
29,Sr. Data Engineer,yes
30,Data Scientist,yes
31,Data Science Internship,yes
32,Data Scientist / Machine Learning Specialist,yes
33,Data Science & Analytics Intern,yes
34,Artificial Intelligence (AI) Associate - Data Scientist,yes
35,Data Science Intern - Summer 2020,yes
36,Adjunct/Part-Time Faculty: Data Science Initiative,yes
37,Data Science Intern,yes
38,Data Science Internship,yes
39,"Data Science-Online Adjunct, Graduate Level",yes
40,Data Science Intern,yes
41,Artificial Intelligence (AI) Associate - Data Scientist,yes
42,Data Scientist / Machine Learning Specialist,yes
43,Data Science Internship,yes
44,Data Engineer II,yes
45,Data Scientist,yes
46,Statistician (Data Scientist),yes
47,Part-Time Lecturer Data Mining/Machine Learning Online,yes
48,Internship - Data Science,yes
49,Data Science Instructor Associate (Part-Time),yes
50,Summer Intern - Data Scientist,yes
51,Data Scientist / Machine Learning Specialist,yes
52,Artificial Intelligence (AI) Associate - Data Scientist,yes
53,Statistician (Data Scientist),yes
54,Data Engineer II,yes
55,Data Science Internship,yes
56,Data Scientist,yes
57,Data Science Instructor Associate (Part-Time),yes
58,Internship - Data Science,yes
59,Data Engineer,yes
60,Data Science Internship,yes
61,Data Scientist / Machine Learning Specialist,yes
62,Data Science Internship,yes
63,Artificial Intelligence (AI) Associate - Data Scientist,yes
64,Data Science & Analytics Intern,yes
65,Data Science Internship,yes
66,Internship - Data Science,yes
67,Adjunct/Part-Time Faculty: Data Science Initiative,yes
68,"Data Science-Online Adjunct, Graduate Level",yes
69,Data Scientist,yes
70,Data Scientist,yes
71,Data Scientist / Machine Learning Specialist,yes
72,Part-Time Lecturer Data Mining/Machine Learning Online,yes
73,Artificial Intelligence (AI) Associate - Data Scientist,yes
74,Data Science Internship,yes
75,Data Scientist,yes
76,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
77,Data Science Internship,yes
78,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
79,Adjunct Faculty for Online Data Science Program--Data Exploration and Visualization - Bay Path University,yes
80,Statistician (Data Scientist),yes
81,Data Scientist / Machine Learning Specialist,yes
82,Artificial Intelligence (AI) Associate - Data Scientist,yes
83,Statistician (Data Scientist),yes
84,Data Engineer II,yes
85,Data Science Internship,yes
86,Data Scientist,yes
87,Data Science Instructor Associate (Part-Time),yes
88,Internship - Data Science,yes
89,Data Engineer,yes
90,Data Science Internship,yes
91,Artificial Intelligence (AI) Associate - Data Scientist,yes
92,Data Science Internship,yes
93,Data Science Instructor Associate (Part-Time),yes
94,Data Scientist / Machine Learning Specialist,yes
95,Statistician (Data Scientist),yes
96,Summer Intern - Data Scientist,yes
97,Sr. Data Engineer,yes
98,Data Scientist,yes
99,DATA SCIENTIST,yes
100,Internship - Data Science,yes
101,Data Scientist / Machine Learning Specialist,yes
