,[job_title],[location],[company],[senior_level]
1,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
2,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
3,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
4,SR Data Scientist,Little Caesars,"Detroit, MI",yes
5,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
6,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
7,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
8,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
9,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
10,Medical Researcher Senior Analyst,Johnson & Johnson Family of Companies,"Seattle, WA",yes
11,Data Solutions Senior Analyst,Capital Group,"Los Angeles, CA 90071",yes
12,"Senior Data Scientist/Principal Data Scientist, Oncology",AstraZeneca,"Gaithersburg, MD 20878",yes
13,Data Engineer-Senior,Y-AXIS,"Malvern, PA",yes
14,"Sr. Data Engineer, Analytics Center of Excellence",NBCUniversal,"New York, NY",yes
15,Senior Clinical Data Scientist-Contractor,Santen Inc,"Emeryville, CA",yes
16,Data Scientist - Level 4 (DCGS),Red Arch Solutions,"Chantilly, VA",yes
17,Senior Principal Data Engineer,BNY Mellon,"Jersey City, NJ",yes
18,"Senior Data Scientist, NLP",Deloitte,"New York, NY",yes
19,Sr. Staff Machine Learning Applied Engineer - Revenue Science,Twitter,"San Francisco, CA 94103 (South Of Market area)",yes
20,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
21,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
22,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
23,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
24,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
25,Data Science Instructor - D & I,Elder Research Inc,"Chantilly, VA 20151",yes
26,Lead Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",yes
27,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
28,Senior Data Scientist,AETNA,"Wellesley, MA",yes
29,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
30,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
31,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
32,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
33,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
34,SR Data Scientist,Little Caesars,"Detroit, MI",yes
35,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
36,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
37,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
38,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
39,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
40,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
41,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
42,SR Data Scientist,Little Caesars,"Detroit, MI",yes
43,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
44,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
45,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
46,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
47,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
48,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
49,SR Data Scientist,Little Caesars,"Detroit, MI",yes
50,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
51,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
52,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
53,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
54,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
