Number,Title,Company,City,State,Zip,Country,Salary,MinSalary,MaxSalary,AvgSalary,Rating,Summary,Website,Type of Job,Level of Job,,
1,Data Engineer,Seen by Indeed,,,,USA,0.00,0.00,0.00,0.00,, Get started ‚Äì Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching ‚Äì Level up with free 1:1 coaching‚Ä¶,Indeed.com,Data Engineer,,,
2,Jr. Machine Learning/Data science,People tech group,,,,USA,0.00,0.00,0.00,0.00,3.8, Machine Learning/ Data Science Engineer*.Working closely with the current team of Data scientists and engineers on various complex problems.,Indeed.com,AI/ML,Entry Level,,
3,Senior Data Warehouse Engineer,MileOne Autogroup,,,,USA,0.00,0.00,0.00,0.00,2.8, Must have at least 5 years‚Äô experience with data management and data warehousing.Proficient in data management tools and databases needed to operate a‚Ä¶,Indeed.com,Data Engineer,Senior,,
4,Data Scientist,OneGlobe LLC,,,,USA,0.00,0.00,0.00,0.00,, Analyze system data and creating statistical models.Data Science/Machine Learning work related to the project.What You'll Get to Do as a Data Scientist:,Indeed.com,Data Scientist,,,
5,Sr. Data Engineer,Gravity Technology Solutions,,,,USA,"$130,000 - $150,000 a year",130000.00,150000.00,140000.00,, The data engineer will work directly with product and engineering teams to understand data needs and create end-to-end data solutions.,Indeed.com,Data Engineer,Senior,,
6,2020 Artificial Intelligence / Machine Learning Intern,Miso,,,,USA,0.00,0.00,0.00,0.00,3.6," You‚Äôll have a manager and mentor with the team you join, as well as a ‚Äúbuddy‚Äù from a different department for additional MISO connections.",Indeed.com,AI/ML,Intern,,
7,"Data Scientist - Deloitte (Remote, Freelance/Contract)",Experfy,,,,USA,$85 - $150 an hour,173400.00,306000.00,239700.00,, Science or another quantitative field.Present information using data visualization techniques.Undertake preprocessing of structured and unstructured data.,Indeed.com,Data Scientist,,,
8,Summer Research Trainee in Biomedical Big Data Science,"Ma'ayan Laboratory, Icahn School of Medicine at Mo...",New York,NY,10029,USA,"$8,000 a month",96000.00,0.00,48000.00,," Students majoring in Computer Science, Informatics, Mathematics, Statistics, Physics, Engineering, Chemistry/Chemical Sciences or Biological Sciences and have‚Ä¶",Indeed.com,Big Data Engineer,,,
9,"Data Science Summer 2020 Internships ‚Äì New York, NY",NBCUniversal,New York,NY,,USA,0.00,0.00,0.00,0.00,4," Unlike a traditional internship, the Data Science Practica embeds future Data Scientists and Data Engineers in ongoing projects within NBCUniversal.",Indeed.com,Data Scientist,Intern,,
10,Data Science Analyst I - Cardiology,Mount Sinai,New York,NY,,USA,0.00,0.00,0.00,0.00,3.9, [4-5 OF THE MOST IMPORTANT OR UNIQUE JOB DUTIES/RESPONSIBILITIES THAT WOULD MAKE THE CANDIDATE WANT TO APPLY].,Indeed.com,Data Scientist,,,
11,2020 Summer Internship - Data Science,Domino's,Ann Arbor,MI,48106,USA,0.00,0.00,0.00,0.00,3.6," Pursuing MS or MBA degree in Data Science, Mathematics, Statistics, Predictive Modeling, Industrial Operations Engineering, or other related field.",Indeed.com,Data Scientist,Intern,,
12,Data Science Internship - Summer 2020,Etsy,New York,NY,,USA,0.00,0.00,0.00,0.00,4.4," Etsy is looking for Data Science Interns to join our Data Science team in Brooklyn, New York and San Francisco, CA.Ranking for Search and Ads.",Indeed.com,Data Scientist,Intern,,
13,Data Scientist,Ford Motor Company,Dearborn,MI,,USA,0.00,0.00,0.00,0.00,4.2," Bachelor‚Äôs degree in Statistics, Economics, Data Science, Computer Science, Engineering or Mathematics.Master's degree in Statistics, Economics, Data Science,‚Ä¶",Indeed.com,Data Scientist,,,
14,Data Science Intern,LexisNexis SA,Raleigh,NC,,USA,0.00,0.00,0.00,0.00,3.7, Meet with stakeholders to understand data science requirements.Effectively communicate findings and insights from data.,Indeed.com,Data Scientist,Intern,,
